name1,name2,is_match,name1_clean,name2_clean,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,soundex_match,Levenshtein,jaccard,token_set_ratio,similar_gender,is_abbreviation,predicted_match,match_probability
chhajer,k s chajjar,0,chhajer,k s chajjar,chhajer,k s chajjar,0.11673713965248654,0.4359255,0.7229437229437229,0,0,7,0.0,0.56,0,0,0,0.110452875
oindrila biswas,r s biswas,0,oindrila biswas,r s biswas,oindrila biswas,r s biswas,0.5351653538587762,0.5882977,0.6527777777777778,0,0,7,0.25,0.75,0,0,0,0.10791042
ashish vashistha,tejash vashisht,0,ashish vashistha,tejash vashisht,ashish vashistha,tejash vashisht,0.45913413753335713,0.55310947,0.7388888888888889,0,0,6,0.0,0.71,0,0,0,0.110452875
ashvind bawa,chinar k,0,ashvind bawa,chinar k,ashvind bawa,chinar k,0.012325830953850809,0.3039078,0.5472222222222222,0,0,9,0.0,0.4,0,0,0,0.110452875
shahiq ahmed,ahemadullah shalkh,0,shahiq ahmed,ahemadullah shalkh,shahiq ahmed,ahemadullah shalkh,0.09859112005516887,0.41120553,0.6018518518518519,0,0,14,0.0,0.6,0,0,0,0.110452875
piara singh,chinar k,0,piara singh,chinar k,piara singh,chinar k,0.02065086552785654,0.39743456,0.6212121212121212,0,0,9,0.0,0.42,0,0,0,0.110452875
senthil kumar,n senthilkumar,0,senthil kumar,n senthilkumar,senthil kumar,n senthilkumar,0.7282391633392868,0.6204412,0.8736263736263736,0,0,3,0.0,0.59,0,0,0,0.17850606
sudhanshu mishra,d mishra,0,sudhanshu mishra,d mishra,sudhanshu mishra,d mishra,0.5705272892146,0.7432653,0.5,0,0,8,0.3333333333333333,0.86,1,0,0,0.12009518
manoj kumar gupta,laldav gupta,0,manoj kumar gupta,laldav gupta,manoj kumar gupta,laldav gupta,0.34986262408820556,0.74754703,0.6290849673202614,0,0,9,0.25,0.59,1,0,0,0.10669158
manu kuris,kuresh s,0,manu kuris,kuresh s,manu kuris,kuresh s,0.2609694882820951,0.46640068,0.5583333333333333,0,0,8,0.0,0.56,0,0,0,0.110452875
manasa mohan,manasa u,0,manasa mohan,manasa u,manasa mohan,manasa u,0.7201154216339178,0.61897624,0.8916666666666667,0,0,5,0.3333333333333333,0.86,1,0,0,0.11069414
quresh maskati,kuresh s,0,quresh maskati,kuresh s,quresh maskati,kuresh s,0.27546574393545525,0.2278,0.7916666666666666,0,0,7,0.0,0.55,0,0,0,0.110452875
